compound_stem,SMILES,compound_name,pubchem_cid,kegg_kid,classifier_target,similar_to
K20079257,NC(=O)c1cn(Cc2c(F)cccc2F)nn1,Rufinamide,129228,D05775,NA,NA
K94723713,O=c1n2CCc3c([nH]c4ccccc34)-c2nc2ccccc12,Rutaecarpine,65752,NA,NA,NA
K20482099,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(oc4cc(O)cc(O)c4c3=O)-c3ccc(O)c(O)c3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,RUTIN,5280805,D00190,NA,NA
K19601669,N#CC[C@@H](C1CCCC1)n1cc(cn1)-c1ncnc2[nH]ccc12,S-Ruxolitinib,50878566,NA,NA,NA
K64614248,OC[C@H]1O[C@@H](Oc2ccccc2CO)[C@H](O)[C@@H](O)[C@@H]1O,salicin,439503,D04712,NA,NA
K66030860,OC[C@H]1O[C@@H](OCCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,Salidroside,159278,NA,NA,NA
A45107007,ClC(Cl)(Cl)C(NC(=O)\C=C\c1ccccc1)NC(=S)Nc1cccc2cccnc12,salubrinal,5717801,NA,NA,NA
K54330070,Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,SB 202190,5353940,NA,NA,NA
A37704979,CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,SB 203580,176155,NA,NA,NA
K59184148,Cn1cc(C2=C(C(=O)NC2=O)c2ccc(Cl)cc2Cl)c2ccccc12,SB 216763,176158,NA,NA,NA
K61097567,COC(=O)[C@H](NC(=O)c1cc(nc2ccccc12)-c1ccccc1)c1ccccc1,SB 218795,6604858,NA,NA,NA
K53913732,CN(C)c1ccc(NC(=O)Nc2cc(C)nc3c(F)cc(F)cc23)cc1,SB-408124,4331799,NA,NA,NA
K40109029,Cc1cccc(n1)-c1[nH]c(nc1-c1ccc2OCOc2c1)C(C)(C)C,SB-505124,9858940,NA,NA,NA
K65991129,FC(F)(F)c1ccc(nc1)N1CC[C@H](C1)NC(=O)Nc1ccccc1Br,SB-705498,9910486,NA,NA,NA
K78809024,CN(C)CCOc1ccc(cc1)-c1nc(c([nH]1)-c1ccc2c(CC\C2=N/O)c1)-c1ccncc1,sb590885,NA,NA,NA,NA
M61246020,CC(C(O)=O)c1cccc(Oc2ccccc2)c1.CC(C(O)=O)c1cccc(Oc2ccccc2)c1,SCHEMBL11336376,19905833,NA,NA,NA
M19962486,CCCC(CCC)C(O)=O.CCCC(CCC)C(O)=O,SCHEMBL140241,87070549,NA,NA,NA
M04732511,COc1ccc2[nH]c(nc2c1)S(=O)Cc1ncc(C)c(OC)c1C.COc1ccc2[nH]c(nc2c1)S(=O)Cc1ncc(C)c(OC)c1C,SCHEMBL1560726,23353183,NA,NA,NA
M53001068,Cn1c2nc[nH]c2c(=O)n(C)c1=O.Cn1c2nc[nH]c2c(=O)n(C)c1=O,SCHEMBL3051675,18680317,NA,NA,NA
M27046829,Nc1ncnc2nc[nH]c12.Nc1ncnc2nc[nH]c12,SCHEMBL3416954,22556417,NA,NA,NA
A47830685,CCCC(N[C@@H](C)C(=O)N1[C@H]2CCCC[C@H]2C[C@H]1C(O)=O)C(=O)OCC,SCHEMBL3752552,46705390,NA,NA,NA
M66874015,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12.OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,SCHEMBL4283801,68986097,NA,NA,NA
M87628937,CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O.CN[C@H]1[C@H](O)[C@@H](O)[C@H](CO)O[C@H]1O[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](NC(N)=N)[C@@H](O)[C@@H]2NC(N)=N)O[C@@H](C)[C@]1(O)C=O,SCHEMBL5492217,87843499,NA,NA,NA
A23127772,CC(O)(CC[C@H]1[C@](C)(O)CCC2C(C)(C)CCC[C@]12C)C=C,Sclareol,16394480,NA,NA,NA
K72925150,C[C@@]12CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]1CC(=O)O2,Sclareolide,929262,NA,NA,NA
K75923785,CN1[C@H]2C[C@H](O)C[C@@H]1[C@H]1O[C@@H]21,Scopine,1274465,NA,NA,NA
K22503835,ONC(=O)CCCCCN1C(=O)c2cccc3cccc(C1=O)c23,scriptaid,5186,NA,NA,NA
A70083328,CC(O)Cn1c(C)ncc1[N+]([O-])=O,Secnidazole,71815,D07353,NA,NA
K65924316,C(Cc1c[nH]c2ccccc12)Nc1ccc(Nc2ccncc2)cc1,Serdemetan,11609586,NA,NA,NA
K11631773,C1Oc2ccc(cc2O1)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2OCOc2c1,sesamin,72307,NA,NA,NA
K80700417,CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1,SGI-1776,24795070,NA,NA,NA
K80353138,COc1cc(ccc1O)[C@H]1Oc2cc(ccc2O[C@@H]1CO)[C@H]1Oc2cc(O)cc(O)c2C(=O)[C@@H]1O,silibinin,31553,D08515,NA,NA
K83459933,COC1=C[C@@H]2[C@@H]3Cc4ccc(OC)c(O)c4[C@]2(CCN3C)CC1=O,Sinomenine,5459308,NA,NA,NA
U68849542,NA,sitagliptin phosphate monohydrate,NA,NA,NA,NA
K12244279,N\C(Sc1ccc(N)cc1)=C(\C#N)c1ccccc1C(F)(F)F,SL327,9549284,NA,NA,NA
K98396737,FC(F)(F)c1cccc(c1)\C=C1/SC(=O)NC1=O,smi-4a,NA,NA,NA,NA
A61385621,COCCn1nnnc1C(N1CCC(Cc2ccccc2)CC1)c1cc2cc(OC)ccc2nc1O,SMR000003368,648854,NA,NA,NA
K16643944,Cc1ccc(NC(=O)N2CCC(CC2)c2nc(O)c3nnn(Cc4cccc(Cl)c4)c3n2)cc1,SMR000007389,656270,NA,NA,NA
K79421577,CC(C)OC(=O)CSc1nnc(o1)-c1ccc(Cl)cc1Cl,SMR000008911,654204,NA,NA,NA
K91654532,Clc1ccc(OCC(=O)Nc2nnc(o2)-c2ccc3CCCCc3c2)cc1,SMR000018513,4443991,NA,NA,NA
K63621616,COc1cccc(c1)-c1nnc(NC(=O)c2cccc(F)c2)o1,SMR000018707,4626316,NA,NA,NA
K36020099,CC(=O)N1CCc2cc3nc(C)cc(C)c3cc12,SMR000020684,901734,NA,NA,NA
K73625255,CN(c1ccccc1)c1nc(nc(n1)-n1ccnc1)N1CCCC1,SMR000021353,714180,NA,NA,NA
K38697675,O=C(COC(=O)c1cccs1)c1ccc2OCCOc2c1,SMR000024031,596162,NA,NA,NA
K36337265,COC(=O)CSc1cc(SCC(=O)OC)c(C#N)c(SCC(=O)OC)c1,SMR000024969,3242625,NA,NA,NA
K66588061,CCOC(=O)N1CCN(CC1)C(=O)CSc1nnc(o1)-c1cc(OC)cc(OC)c1,SMR000025757,3241088,NA,NA,NA
K60447690,O=C(C1CCN(CC1)c1nnc(s1)-n1cccc1)N1CCN(CC1)c1cccc(C(F)(F)F)c1,SMR000029491,3240265,NA,NA,NA
A71538299,CCOC(=O)C(C)Sc1ncnc2n(nnc12)-c1ccc(F)cc1,SMR000029667,3238861,NA,NA,NA
K51622629,CCOc1cccc2cc(C(=O)Nc3nccs3)c(=O)oc12,SMR000030176,3235723,NA,NA,NA
K37621411,CCOC(=O)Cn1c2CCCCc2c(cc1=O)-c1ccccc1OC,SMR000031369,3245833,NA,NA,NA
K92520083,CCCCOC(=O)CSc1nc(N)c(C#N)c(-c2ccc(OC)cc2)c1C#N,SMR000034263,659299,NA,NA,NA
K75549105,Cc1ccc(cc1)-c1nnc(N2CCN(CC2)C(=O)c2ccco2)c2ccccc12,SMR000034622,662369,NA,NA,NA
K70122074,Cc1cc(=O)[nH]c(SCC(=O)C23CC4CC(CC(C4)C2)C3)c1C#N,SMR000035097,657959,NA,NA,NA
K19487527,Cc1cc(C)n(n1)-c1nc(C)cc(n1)N1CCN(CC1)c1ccccc1,SMR000036402,657574,NA,NA,NA
K25061039,O=C(OCC#CCSc1nc2ccccc2o1)c1ccco1,SMR000036893,661262,NA,NA,NA
K62697226,Cn1c(cc2c1ccc1[n+]([O-])onc21)-c1ccccc1,SMR000037229,657462,NA,NA,NA
K33212518,OCCN1CCN(CC1)c1nc(nc2c3ccccc3oc12)-c1ccccc1,SMR000045179,664400,NA,NA,NA
K73368529,Clc1ccc(NC(=O)Nc2ccc(cc2)C#N)cc1,SMR000054460,721948,NA,NA,NA
K49621849,COC(=O)COc1ccc2c(c1)oc(C)c(Oc1ccccc1)c2=O,SMR000055040,722777,NA,NA,NA
K35123248,COC(=O)CSc1nc2ccccc2nc1SCC(=O)OC,SMR000060607,946874,NA,NA,NA
K48412418,CCCn1c(NC(=O)c2ccccc2)nc2ccccc12,SMR000061958,2998768,NA,NA,NA
K49077004,Oc1cc2ccccc2cc1C(=O)OCC(=O)N1CCCCC1,SMR000062330,2388572,NA,NA,NA
K03805184,CC1CCN(CC1)C(=O)COC(=O)c1cc2ccccc2cc1O,SMR000063305,2095897,NA,NA,NA
K56517252,Oc1nc(CN2CCOCC2)nc2cc(ccc12)C(=O)OCc1cccc2ccccc12,SMR000068112,2531589,NA,NA,NA
K14966257,Cc1ccc(NC(=O)NC2CCCCC2)cc1Cl,SMR000069581,742744,NA,NA,NA
K33488919,CCCn1c(CNc2ccccc2O)nc2ccccc12,SMR000069772,760357,NA,NA,NA
K20326272,Cc1ccc(OCCCCn2ccnc2)c(Cl)c1,SMR000069820,2851545,NA,NA,NA
K86921313,Clc1cccc(NCCC(=O)c2ccco2)c1,SMR000069992,804612,NA,NA,NA
K15846990,CC(=O)Nc1nc2ccccc2n1CCOc1ccccc1,SMR000070826,763944,NA,NA,NA
K60779111,O=S(=O)(CCSc1nc2ccccc2o1)c1nc2ccccc2s1,SMR000073845,1319216,NA,NA,NA
K48750300,CCOC(=O)COc1ccc2n(CC)c(C)c(C(=O)OCC)c2c1,SMR000074349,899227,NA,NA,NA
K09117138,O=C(OCc1ccc(cc1)C(=O)Oc1ccccc1)CNC(=O)c1ccco1,SMR000075106,2198996,NA,NA,NA
K49318104,COc1ccccc1Nc1nc(N)nc(CN2CCC(Cc3ccccc3)CC2)n1,SMR000076210,1382129,NA,NA,NA
K34633344,Fc1ccc2onc(C3CCN(CC3)C(=O)CSc3ncnc4sc5CCCCc5c34)c2c1,SMR000077348,1285689,NA,NA,NA
K99329636,COc1ccc(NC(=O)CSc2ncn(n2)-c2ccccc2)cc1Cl,SMR000077589,2214653,NA,NA,NA
K06102601,O=C(Oc1ccccc1)c1cccc(COC(=O)c2cnccn2)c1,SMR000077954,973411,NA,NA,NA
K95685655,Cc1ccc(Cl)cc1NC(=O)CC(O)(C(F)(F)F)C(F)(F)F,SMR000078073,2216782,NA,NA,NA
K82870991,Cn1c(NCc2ccco2)nc2n(C)c(=O)n(Cc3ccc(Br)cc3)c(=O)c12,SMR000078356,1303477,NA,NA,NA
K54526385,Cc1ccc(cc1)-c1nnc2sc(CCc3ccccc3)nn12,SMR000081009,1234099,NA,NA,NA
K52860146,Oc1c(CN2CCc3ccccc3C2)cc(Cl)c2cccnc12,SMR000091631,726503,NA,NA,NA
K07160340,CCc1c(C#N)c(N)nc(SCC(=O)OCc2ccccc2)c1C#N,SMR000102998,1067782,NA,NA,NA
K52040505,Cc1cccc(OCc2nnc(SCC(=O)NCCc3ccccc3)o2)c1,SMR000108099,1324479,NA,NA,NA
K03276868,N=c1n(Cc2ccco2)cnc2n(Cc3ccco3)c(c(-c3ccccc3)c12)-c1ccccc1,SMR000109566,1315075,NA,NA,NA
K97317583,COc1ccc(cc1)C(=O)Nc1cc(OC)c(NC(=O)c2ccco2)cc1OC,SMR000116271,3169045,NA,NA,NA
K82542600,CCOC(=O)CSCC(=O)Nc1c(oc2ccccc12)C(=O)C1CC1,SMR000116790,1970891,NA,NA,NA
K18118334,CCn1c(\C=C\c2ccc(o2)[N+]([O-])=O)nc2ccccc2c1=O,SMR000119979,5731123,NA,NA,NA
K12155719,O=C(COc1ccccc1)Nc1nnc(o1)-c1ccc2CCCCc2c1,SMR000126873,3373841,NA,NA,NA
K54446783,Cc1cc2ccccc2n1CCNC(=O)COc1ccc2ccccc2c1,SMR000126891,4186980,NA,NA,NA
K35136957,Cc1cc(nc2ccc(NC(=O)c3ccc(Br)o3)cc12)N1CCCCC1,SMR000130098,9550550,NA,NA,NA
K47321195,Cc1ccc(cc1)-n1cnc2cc(NCc3cccs3)ccc12,SMR000143176,939938,NA,NA,NA
K50986487,Cc1ccccc1OCCCCn1cnc2ccccc12,SMR000143347,2129703,NA,NA,NA
K10920876,COc1cc2CCN=C(c3ccc(o3)-c3ccc(Cl)c(Cl)c3)c2cc1OC,SMR000143939,1527239,NA,NA,NA
K28063814,CCCCc1c(C)c(C#N)c2nc3ccccc3n2c1O,SMR000145281,2133311,NA,NA,NA
K04559077,CCOC(=O)c1cnc(nc1Nc1ccc(OC)cc1)-n1nc(C)cc1C,SMR000148501,3771443,NA,NA,NA
K79135258,COc1ccc(cc1)S(=O)(=O)Oc1ccc2C(=O)\C(Oc2c1)=C\c1cccnc1,SMR000149573,1853627,NA,NA,NA
K24485356,CCOC(=O)c1ccc(NC(=O)CN2C(=O)N(CC(C)C)C(=O)C2=O)cc1,SMR000151269,2574766,NA,NA,NA
K14331634,CCCn1c(NC(=O)c2cccc(C)c2C)nc2ccccc12,SMR000151849,3914216,NA,NA,NA
K67023565,CCSc1nnc(NC(=O)c2ccc3ccccc3n2)s1,SMR000153314,2121796,NA,NA,NA
K66719016,O=C(CCCSc1ccccc1)Nc1nc(cs1)-c1ccccn1,SMR000153733,2580007,NA,NA,NA
K74401451,O=C(Nc1ccc2OCCOc2c1)c1cccc2nc3ccccc3nc12,SMR000155634,4617636,NA,NA,NA
K13163660,Cc1ccc(cc1)-c1noc(n1)-c1cc2ccccc2oc1=O,SMR000161600,851428,NA,NA,NA
K78535391,ClC(Cl)(Cl)c1cc(=O)c2ccc3ccccc3c2o1,SMR000163038,1236985,NA,NA,NA
K66551260,COc1cc(cc(OC)c1O)-c1nc2ccc3ccccc3c2c2CCCc12,SMR000171467,5339980,NA,NA,NA
K44849534,Cc1ccnc(c1)N1C(=O)c2cccc3c(ccc(C1=O)c23)[N+]([O-])=O,SMR000178156,704848,NA,NA,NA
K40917447,Cc1nc2CCCCc2cc1C(=O)\C=C\c1ccc(Br)cc1,SMR000185185,5338376,NA,NA,NA
K53798112,COC(=O)COc1ccc2c(cc(=O)oc2c1)-c1cccc(c1)[N+]([O-])=O,SMR000194529,1109314,NA,NA,NA
K53821438,Brc1ccc(cc1)C(=O)N\C(=C\c1ccccc1)C(=O)NCC(=O)OCc1ccccc1,SMR000194900,5730299,NA,NA,NA
K94324616,Brc1ccc(\C=C(\NC(=O)c2ccccc2)C(=O)NCC(=O)OCc2ccccc2)cc1,SMR000194966,1947460,NA,NA,NA
A94563302,CN(C(C)=O)c1ccc(OCC(O)Cn2c3ccc(Cl)cc3c3cc(Cl)ccc23)cc1,SMR000196847,2920939,NA,NA,NA
K01388592,CCOc1ccc(NC(S)=Nc2ccc3nsnc3c2)cc1,SMR000197073,804043,NA,NA,NA
A08390221,CC(C)(C)C1CCc2c(C1)sc(NC(=O)CSc1nnc(o1)-c1ccccc1)c2C#N,SMR000199231,2948383,NA,NA,NA
A67056886,CC(=O)C1=C(C)NC(SCC(=O)Nc2nc3ccccc3s2)=C(C#N)C1c1ccc(Cl)cc1,SMR000199631,2953131,NA,NA,NA
K76048123,Cc1ccc(N=C(S)Nc2ccc(Cl)c(Cl)c2)c(OC(F)F)c1,SMR000199989,2210360,NA,NA,NA
K87254812,[O-][N+](=O)c1cccc(c1)-c1ccc(o1)C(=O)Nc1ncc(Cc2ccc(cc2)C(F)(F)F)s1,SMR000200010,1298265,NA,NA,NA
K83905387,CCOC(=O)c1c(NC(=S)NC(=O)N(C)C)scc1-c1ccc(C)o1,SMR000200695,1251205,NA,NA,NA
K12644871,O=C(NC(=S)N(CCC#N)Cc1ccccc1)c1ccccc1,SMR000200893,2224295,NA,NA,NA
K14171253,Fc1ccc(cc1)C(=O)CCCSc1nnc(SCCCC(=O)c2ccc(F)cc2)s1,SMR000201286,2229707,NA,NA,NA
K14748922,[O-][N+](=O)c1cc(ccc1N1CCOCC1)C(=O)Nc1ccc(N2CCCCC2)c(Cl)c1,SMR000201384,2977331,NA,NA,NA
K16074905,O=C(Nc1nc2ccccc2s1)C1c2ccccc2Oc2ccccc12,SMR000204124,2862916,NA,NA,NA
K07376178,CCCC(=O)OCCNc1cc(SCc2ccco2)c2nonc2c1[N+]([O-])=O,SMR000207030,12005351,NA,NA,NA
A35323217,CSCCC(NC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O)c1nc2ccccc2[nH]1,SMR000212330,4527708,NA,NA,NA
A97776868,COC(=O)CN1C(c2ccccc2)c2cc(Cl)ccc2N=C1c1cccc(Cl)c1,SMR000218158,3808079,NA,NA,NA
K04357270,Cn1c(nc2ccccc12)-c1c(N)n(-c2ccccc2)c2nc3ccccc3nc12,SMR000221133,3373363,NA,NA,NA
K41300272,Cc1ccccc1NC(=O)\C=C\c1ccc(s1)[N+]([O-])=O,SMR000235996,6031825,NA,NA,NA
K82641815,CCOC(=O)c1sc(Nc2nc3ccc(OC)cc3s2)cc1C,SMR000236229,6622210,NA,NA,NA
K77121566,Clc1cc(C(=O)Nc2nnc(o2)-c2ccccc2)c(Cl)s1,SMR000236657,4404202,NA,NA,NA
K79470744,Cc1nc2c(ccc3nc(NC(=O)Cc4ccccc4)sc23)s1,SMR000237536,4143926,NA,NA,NA
K90489838,O=C(Nc1nnc(o1)-c1ccccc1)c1cc(nc2ccccc12)-c1cccs1,SMR000237565,3274011,NA,NA,NA
K47044629,CCc1ccc(Nc2nnc(SCC(=O)Nc3cccnc3Cl)s2)cc1,SMR000250270,2397637,NA,NA,NA
K71512533,Clc1cccc(NC(=O)Nc2ncc(CCNc3ncnc4ccsc34)s2)c1,SNS-314,24995524,NA,NA,NA
K71281111,CC1(C)Cc2c(c(nn2-c2ccc(C(N)=O)c(N[C@H]3CC[C@H](O)CC3)c2)C(F)(F)F)C(=O)C1,SNX-2112,24772860,NA,NA,NA
K61230716,[O-][N+][O-],sodium nitrite,0,NA,NA,NA
M50817856,C.[O-][N+][Fe](C#N)(C#N)(C#N)(C#N)C#N,sodium nitroprusside,0,NA,NA,NA
K66845263,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,Sophocarpine,115269,NA,NA,NA
K41172353,O=C(Sc1cccc2ncccc12)c1ccccc1,ST004815,673329,NA,NA,NA
A16325209,CC1CC(CC(C)(C)C1)NC(=O)c1ccc(Br)cc1,ST005988,603349,NA,NA,NA
K49873220,Clc1ccc(CCNC(=O)C23CC4CC(CC(C4)C2)C3)cc1,ST006126,585209,NA,NA,NA
K87882660,Cc1ccc(cc1)-c1nc2n(ncc2c(=O)o1)-c1ccccc1,ST015343,722801,NA,NA,NA
K77299332,O=C(Nc1ccc2OCOc2c1)C12CC3CC(CC(C3)C1)C2,ST021101,584807,NA,NA,NA
K01042917,Cn1c(Sc2cnn(-c3ccccc3)c(=O)c2Br)nnc1-c1ccccc1,ST025471,1037782,NA,NA,NA
K02270972,O=C(\C=C\c1ccccc1)N1CCN(Cc2ccccc2)CC1,ST026372,717624,NA,NA,NA
K58850295,FC(F)C(F)(F)Oc1ccc(NC(=O)Nc2cccc(Cl)c2)cc1,ST027704,1270427,NA,NA,NA
K57517373,Cn1c(Sc2ccc([N+]([O-])=O)c3cccnc23)nnc1-c1ccccc1,ST027778,1270450,NA,NA,NA
K27190875,Fc1cccc(NC(=O)Nc2ccc(cc2)C(F)(F)F)c1,ST030646,727768,NA,NA,NA
K88025022,Cc1ccc(cc1)S(=O)(=O)c1no[n+]([O-])c1S(=O)(=O)c1ccc(C)cc1,ST032326,1271327,NA,NA,NA
K68117818,Fc1ccccc1C(=O)Oc1cccc2cccnc12,ST037072,579411,NA,NA,NA
K54996238,COC(=O)CSc1ccc(C#N)c(SCC(=O)OC)c1,ST038486,728891,NA,NA,NA
K58278076,COC(=O)CSc1ccc2c(N)c(sc2c1)C(=O)OC,ST039117,729460,NA,NA,NA
A98847674,CC1=NN(C(=O)COc2ccccc2C)C(O)(C1)c1ccc(Cl)cc1,ST044380,2955383,NA,NA,NA
K75564423,Fc1ccc(CC(=O)Nc2ccc(Cl)c(c2)C(F)(F)F)cc1,ST044928,573195,NA,NA,NA
K49596086,CN(C)CCSc1nc(cc(-c2ccc(F)cc2)c1C#N)-c1cccs1,ST052005,1035692,NA,NA,NA
A95035810,CC(C(=O)OC1CCCCC1)n1cnc2sc(C)c(C)c2c1=O,ST053866,2790933,NA,NA,NA
K51809398,O=S(=O)(CCSc1nc2ccccc2s1)c1nc2ccccc2s1,ST056641,2194030,NA,NA,NA
K84450966,CCOC(=O)\C=C\C(=O)Nc1nc(cs1)-c1ccccc1,ST060841,2265271,NA,NA,NA
K65451896,COC(=O)C1=C(C)N(C(=O)C1)c1cc(Cl)cc(Cl)c1,ST062271,745111,NA,NA,NA
K04483796,COC(=O)COc1ccc(cc1)S(=O)(=O)N1CCCCCC1,ST062286,893834,NA,NA,NA
K12814109,CC(C)(C)NC(=O)c1cc2cc(ccc2oc1=O)[N+]([O-])=O,ST062368,972246,NA,NA,NA
K96604625,COC(=O)c1ccc(COC(=O)c2ccccn2)cc1,ST062561,1088635,NA,NA,NA
K69654571,COC(=O)C1=C(C)N(C(=O)C1)c1ccc(F)c(Cl)c1,ST062663,923210,NA,NA,NA
K45360927,COC(=O)c1cc(\C=C\c2ccccc2)on1,ST062667,5769094,NA,NA,NA
K24715439,COC(=O)CSC1=NC(=O)\C(S1)=C\c1ccc(OC)cc1,ST081024,692053,NA,NA,NA
K43311325,COc1ccc2nc(C)cc(Nc3ccccc3O)c2c1,ST083822,686636,NA,NA,NA
K28727556,COC(=O)COc1ccc(\C=C(\C#N)c2nc3ccccc3[nH]2)cc1,ST089810,5740087,NA,NA,NA
K19835280,CC(=O)c1ccc(c(c1)[N+]([O-])=O)S(=O)(=O)c1ccc(C)cc1,ST091411,1511994,NA,NA,NA
K58980356,CNc1nc(ncc1F)N1CCc2ccccc12,ST093186,974070,NA,NA,NA
K26898340,O=C1N(c2ccc3[nH]c(=O)[nH]c3c2)C(=O)c2cccc3cccc1c23,ST4001685,682010,NA,NA,NA
K92549244,Cc1ccc(NCCC(=O)c2cccs2)cc1,ST4003874,877310,NA,NA,NA
K45520098,Brc1ccc(NC(=O)CCC2CCCC2)nc1,ST4005283,599999,NA,NA,NA
K35683048,Clc1cnn(c(=O)c1Cl)C12CC3CC(CC(C3)C1)C2,ST4061969,584802,NA,NA,NA
K21380530,COc1cc2ccccc2cc1C(=O)NCCC12CC3CC(CC(C3)C1)C2,ST4069234,2930111,NA,NA,NA
K56190375,Fc1ccc(Nc2nc(cs2)-c2ccccn2)cc1,ST4102355,972907,NA,NA,NA
K12912524,CCc1ccc(Oc2nc(nn2C)[N+]([O-])=O)cc1,ST4108006,935040,NA,NA,NA
K29963621,COC(=O)Cn1nc(c2CCCCc12)C(F)(F)F,ST50012125,788041,NA,NA,NA
K65625994,Cc1ccc(Cn2cnc3sc4CCCCc4c3c2=O)cc1,ST50017655,799668,NA,NA,NA
K26933460,COc1cc(cc(OC)c1OC)C(=O)Oc1ccc(Cl)c2cccnc12,ST50031533,1093279,NA,NA,NA
K42594465,COC(=O)COc1ccc2c(c1)occ(-c1ccccc1OC)c2=O,ST50039864,710528,NA,NA,NA
K86459123,COc1ccccc1-c1coc2cc(OCC(=O)OCc3ccccc3)ccc2c1=O,ST50039881,1182909,NA,NA,NA
K33268393,CCOC(=O)CCc1c(C)c(C#N)c2nc3ccccc3n2c1O,ST50053148,660249,NA,NA,NA
K86515460,NS(=O)(=O)c1ccc(CCNc2ncnc3n(cc(-c4ccccc4)c23)-c2ccc(F)cc2)cc1,ST50070310,1288086,NA,NA,NA
K07025425,Cc1cc2ncn(CCCOc3ccccc3C)c2cc1C,ST50070688,2129702,NA,NA,NA
A30822945,COC(=O)C(C)Oc1ccc2c(c1)occ(Oc1ccccc1Br)c2=O,ST50071680,2938070,NA,NA,NA
A15248610,CC12CC3CC(C)(C1)CC(CNCc1ccccc1O)(C3)C2,ST50075779,2941926,NA,NA,NA
K54759725,Cc1ccc(cc1)C(=O)NCCC12CC3CC(CC(C3)C1)C2,ST50076296,2918796,NA,NA,NA
K81401970,FC(F)(F)c1cccc(\C=C\C(=O)Nc2cccc(Br)c2)c1,ST50078681,5348536,NA,NA,NA
K32164288,CC(C)(C)c1ccc(OCCN2C(=O)C(=O)c3cc(Br)ccc23)cc1,ST50108994,2215104,NA,NA,NA
K17322694,O=C(COc1ccc(cc1)-c1ccc(cc1)C#N)Nc1cccnc1,ST50109275,826941,NA,NA,NA
K65617174,Cc1cc(C)n(n1)-c1nc(C)cc(O)n1,ST50114295,657640,NA,NA,NA
K74747924,C(N1CNC(Nc2nc3ccccc3s2)=NC1)c1ccc2OCOc2c1,ST50133178,1242955,NA,NA,NA
K71419400,[O-][N+](=O)c1cc(ccc1SCC(=O)OC1CCCCC1)C(F)(F)F,ST50142791,1192958,NA,NA,NA
A25776702,CC(C)(C)OC(=O)CS(=O)c1ccc(cc1[N+]([O-])=O)S(=O)(=O)C(F)(F)F,ST50142815,1189519,NA,NA,NA
K13561334,CC1CCN(CC1)C(=S)NC(=O)c1ccc(Cl)cc1,ST50160009,886090,NA,NA,NA
K84853771,Cc1cc(OCCCn2ccnc2)ccc1Cl,ST50162189,2990271,NA,NA,NA
A77779982,CC12CC3CC(C)(C1)CC(C3)(C2)C(=O)Nc1nc2ccccc2s1,ST50165837,2956862,NA,NA,NA
K23239610,CN(C)C(=S)NC(=O)c1cccc(Cl)c1,ST50165923,2302012,NA,NA,NA
K37371315,CCCCc1ccc(NC(=O)c2cc3cc(Br)cc(OC)c3oc2=O)cc1,ST50169218,2197686,NA,NA,NA
K65044699,CCCc1ccc(OCC(=O)Nc2ccc(F)cc2)cc1,ST50184300,723334,NA,NA,NA
K57287712,COc1ccc(\C=C\C(=O)Oc2ccc(C)c(C)c2)cc1OC,ST50184632,723805,NA,NA,NA
K43788323,CCCCOC(=O)c1cccc(NC(=O)c2cccc(Cl)c2)c1,ST50185251,1586574,NA,NA,NA
K82085689,COC(=O)c1c(NC(=O)c2cc3ccccc3oc2=O)sc2CCCc12,ST50187814,1078073,NA,NA,NA
K16170395,CCOC(=O)COc1ccc2c(c1)occ(Oc1ccccc1Cl)c2=O,ST50192202,1188429,NA,NA,NA
A35156362,CC(C(=O)OCc1ccccc1)n1cnc2sc3CC(C)CCc3c2c1=O,ST50193108,2791202,NA,NA,NA
K29485507,C1CCN(C1)c1ccc(cc1)Nc1ncnc2ccc(Br)cc12,ST50195162,1189451,NA,NA,NA
K99489897,CC(C)OC(=O)COc1ccc(cc1)-c1ccccc1,ST50195340,2791913,NA,NA,NA
K91732824,CCOCCOC(=O)COc1ccc2c(cc(=O)oc2c1)-c1ccccc1,ST50195415,1569493,NA,NA,NA
A25981538,CC(C(=O)OC1CCCCC1)n1cnc2scc(-c3ccc(C)c(C)c3)c2c1=O,ST50195466,2792000,NA,NA,NA
